text,label
I love this product it is amazing,positive
This is terrible I hate it,negative
Absolutely fantastic great quality,positive
Worst purchase ever do not buy,negative
Really happy with this item,positive
Disappointed with the quality,negative
Excellent value for money,positive
Complete waste of money,negative
Best product I have ever used,positive
Very bad experience overall,negative
Highly recommend this to everyone,positive
Would not recommend to anyone,neutral
Outstanding quality and service,positive
Poor quality and bad service,negative
Great product works perfectly,positive
Broken on arrival terrible,negative
Love it exceeded my expectations,positive
Awful product never buying again,negative
Perfect exactly what I needed,positive
Total disappointment very bad,negative
