text,label
I love this product it is amazing,positive
This is terrible I hate it,negative
Absolutely fantastic great quality,positive
Worst purchase ever do not buy,negative
Really happy with this item,positive
Disappointed with the quality,negative
Excellent value for money,positive
Complete waste of money,negative
Best product I have ever used,positive
Very bad experience overall,negative
Highly recommend this to everyone,positive
Would not recommend to anyone,negative
Outstanding quality and service,positive
Poor quality and bad service,negative
Great product works perfectly,positive
Broken on arrival terrible,negative
Love it exceeded my expectations,positive
Awful product never buying again,negative
Perfect exactly what I needed,positive
Total disappointment very bad,negative
Superb performance and reliability,positive
The product stopped working quickly,negative
Extremely satisfied with my purchase,positive
The customer service was horrible,negative
Five stars excellent experience,positive
The item was defective and useless,negative
Very pleased with the results,positive
Regret buying this product,negative
Amazing quality and fast delivery,positive
Not worth the price at all,negative
Exceeded all my expectations,positive
Terrible quality and poor design,negative
Fantastic customer support,positive
The product arrived damaged,negative
Easy to use and very effective,positive
I am unhappy with this purchase,negative
Excellent build quality,positive
The worst product I have owned,negative
Very impressed by the performance,positive
The experience was frustrating,negative
Top notch quality and service,positive
Completely dissatisfied with it,negative
This product made my life easier,positive
It failed to meet expectations,negative
Brilliant product highly recommended,positive
Poor performance and bad quality,negative
I am delighted with this item,positive
Do not waste your money,negative
Exceptional value and quality,positive
Very disappointed with the purchase,negative
