text,label
I love this product it is amazing,positive
This is terrible I hate it,negative
Absolutely fantastic great quality,positive
Worst purchase ever do not buy,negative
Really happy with this item,positive
Disappointed with the quality,negative
Excellent value for money,positive
Complete waste of money,negative
Best product I have ever used,positive
Very bad experience overall,negative
Highly recommend this to everyone,neutral
Would not recommend to anyone,neutral
Outstanding quality and service,neutral
Poor quality and bad service,negative
Great product works perfectly,positive
Broken on arrival terrible,negative
Love it exceeded my expectations,positive
Awful product never buying again,negative
Perfect exactly what I needed,positive
Total disappointment very bad,negative
Superb performance and reliability,neutral
The product stopped working quickly,neutral
Extremely satisfied with my purchase,neutral
The customer service was horrible,negative
Five stars excellent experience,positive
The item was defective and useless,neutral
Very pleased with the results,neutral
Regret buying this product,neutral
Amazing quality and fast delivery,positive
Not worth the price at all,neutral
Exceeded all my expectations,neutral
Terrible quality and poor design,negative
Fantastic customer support,positive
The product arrived damaged,neutral
Easy to use and very effective,neutral
I am unhappy with this purchase,positive
Excellent build quality,positive
The worst product I have owned,negative
Very impressed by the performance,neutral
The experience was frustrating,neutral
Top notch quality and service,neutral
Completely dissatisfied with it,neutral
This product made my life easier,neutral
It failed to meet expectations,neutral
Brilliant product highly recommended,neutral
Poor performance and bad quality,negative
I am delighted with this item,neutral
Do not waste your money,negative
Exceptional value and quality,neutral
Very disappointed with the purchase,negative
